model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
0,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 400, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 20, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.75, 0.65, 0.7, 0.62, 0.7, 0.65, 0.53, 0.7, 0.77, 0.72, 0.82, 0.7, 0.7, 0.68, 0.72, 0.65, 0.67, 0.7, 0.72, 0.72]",0.694,"[0.633, 0.767, 0.6, 0.75, 0.6, 0.7, 0.617, 0.75, 0.667, 0.633, 0.733, 0.633, 0.717, 0.617, 0.717, 0.75, 0.75, 0.65, 0.783, 0.733, 0.717, 0.767, 0.8, 0.717, 0.8, 0.733, 0.817, 0.7, 0.7, 0.7, 0.65, 0.717, 0.733, 0.65, 0.7, 0.667, 0.717, 0.667, 0.683, 0.7, 0.617, 0.667, 0.833, 0.65, 0.667, 0.667, 0.667, 0.717, 0.733, 0.7, 0.667, 0.667, 0.683, 0.8, 0.7, 0.8, 0.717, 0.617, 0.75, 0.7, 0.75, 0.833, 0.767, 0.75, 0.75, 0.75, 0.633, 0.617, 0.767, 0.75, 0.7, 0.75, 0.683, 0.683, 0.683, 0.783, 0.7, 0.583, 0.667, 0.617, 0.7, 0.8, 0.717, 0.717, 0.75, 0.75, 0.683, 0.767, 0.683, 0.717, 0.65, 0.667, 0.633, 0.767, 0.767, 0.667, 0.8, 0.633, 0.667, 0.817]",0.707
1,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 400, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 80, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.75, 0.58, 0.73, 0.6, 0.7, 0.67, 0.52, 0.68, 0.78, 0.68, 0.8, 0.68, 0.7, 0.68, 0.75, 0.67, 0.67, 0.75, 0.7, 0.75]",0.692,"[]",-
2,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 400, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 60, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.75, 0.58, 0.72, 0.6, 0.72, 0.68, 0.52, 0.67, 0.77, 0.7, 0.8, 0.7, 0.7, 0.67, 0.73, 0.67, 0.68, 0.73, 0.68, 0.72]",0.69,"[]",-
3,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 400, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 40, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.75, 0.58, 0.75, 0.6, 0.7, 0.65, 0.52, 0.67, 0.72, 0.68, 0.8, 0.67, 0.7, 0.67, 0.73, 0.67, 0.67, 0.73, 0.7, 0.77]",0.686,"[]",-
4,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 400, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 100, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.75, 0.58, 0.72, 0.6, 0.72, 0.65, 0.47, 0.67, 0.75, 0.7, 0.77, 0.68, 0.68, 0.68, 0.75, 0.67, 0.67, 0.72, 0.7, 0.77]",0.685,"[]",-
