model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
0,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.68, 0.78, 0.68, 0.77, 0.77, 0.77, 0.75, 0.78, 0.83, 0.73, 0.78, 0.7, 0.77, 0.73, 0.62, 0.82, 0.77, 0.78, 0.78, 0.72]",0.75,"[0.717, 0.767, 0.75, 0.733, 0.767, 0.7, 0.833, 0.75, 0.817, 0.667, 0.733, 0.683, 0.783, 0.783, 0.7, 0.683, 0.733, 0.767, 0.617, 0.75, 0.783, 0.633, 0.733, 0.783, 0.7, 0.85, 0.733, 0.817, 0.767, 0.733, 0.733, 0.767, 0.8, 0.7, 0.8, 0.75, 0.717, 0.733, 0.8, 0.667, 0.667, 0.65, 0.783, 0.733, 0.783, 0.767, 0.7, 0.6, 0.783, 0.783, 0.767, 0.75, 0.783, 0.667, 0.717, 0.683, 0.75, 0.783, 0.783, 0.767, 0.7, 0.65, 0.683, 0.75, 0.733, 0.683, 0.767, 0.65, 0.7, 0.8, 0.767, 0.667, 0.7, 0.75, 0.767, 0.8, 0.6, 0.817, 0.767, 0.7, 0.767, 0.683, 0.7, 0.767, 0.733, 0.683, 0.717, 0.717, 0.733, 0.733, 0.733, 0.85, 0.817, 0.717, 0.667, 0.683, 0.767, 0.633, 0.683, 0.8]",0.735
1,random_forest,"{'n_estimators': 140, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.67, 0.78, 0.7, 0.82, 0.82, 0.8, 0.73, 0.75, 0.83, 0.75, 0.75, 0.72, 0.77, 0.72, 0.63, 0.8, 0.75, 0.68, 0.77, 0.72]",0.748,"[0.7, 0.75, 0.767, 0.683, 0.75, 0.717, 0.8, 0.783, 0.8, 0.65, 0.75, 0.65, 0.75, 0.783, 0.7, 0.667, 0.75, 0.783, 0.583, 0.783, 0.767, 0.65, 0.717, 0.767, 0.667, 0.833, 0.733, 0.8, 0.75, 0.683, 0.767, 0.75, 0.8, 0.717, 0.783, 0.733, 0.717, 0.75, 0.783, 0.667, 0.683, 0.65, 0.767, 0.733, 0.767, 0.733, 0.65, 0.6, 0.783, 0.783, 0.783, 0.75, 0.783, 0.7, 0.733, 0.667, 0.767, 0.75, 0.767, 0.75, 0.683, 0.683, 0.717, 0.75, 0.733, 0.717, 0.783, 0.65, 0.7, 0.833, 0.783, 0.683, 0.717, 0.783, 0.767, 0.783, 0.617, 0.783, 0.75, 0.733, 0.767, 0.683, 0.7, 0.75, 0.75, 0.717, 0.667, 0.717, 0.717, 0.733, 0.7, 0.883, 0.817, 0.717, 0.633, 0.667, 0.767, 0.633, 0.683, 0.783]",0.732
2,random_forest,"{'n_estimators': 230, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.68, 0.78, 0.67, 0.78, 0.78, 0.77, 0.72, 0.78, 0.8, 0.75, 0.78, 0.72, 0.78, 0.75, 0.63, 0.8, 0.73, 0.77, 0.75, 0.73]",0.748,"[0.683, 0.717, 0.767, 0.683, 0.767, 0.667, 0.8, 0.733, 0.817, 0.7, 0.767, 0.65, 0.783, 0.767, 0.717, 0.65, 0.733, 0.767, 0.567, 0.767, 0.8, 0.617, 0.7, 0.817, 0.717, 0.767, 0.75, 0.8, 0.75, 0.767, 0.75, 0.783, 0.8, 0.7, 0.783, 0.717, 0.7, 0.75, 0.8, 0.65, 0.667, 0.65, 0.767, 0.75, 0.767, 0.733, 0.7, 0.6, 0.767, 0.783, 0.783, 0.75, 0.783, 0.683, 0.717, 0.7, 0.75, 0.783, 0.783, 0.783, 0.7, 0.683, 0.7, 0.75, 0.75, 0.7, 0.767, 0.633, 0.667, 0.8, 0.783, 0.683, 0.733, 0.733, 0.7, 0.783, 0.617, 0.833, 0.75, 0.717, 0.75, 0.65, 0.683, 0.75, 0.717, 0.717, 0.717, 0.7, 0.7, 0.767, 0.733, 0.867, 0.783, 0.717, 0.667, 0.683, 0.8, 0.667, 0.683, 0.8]",0.732
3,random_forest,"{'n_estimators': 170, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.68, 0.78, 0.72, 0.8, 0.75, 0.78, 0.72, 0.75, 0.83, 0.75, 0.78, 0.72, 0.75, 0.7, 0.63, 0.8, 0.73, 0.78, 0.78, 0.72]",0.748,"[0.7, 0.75, 0.767, 0.7, 0.75, 0.683, 0.8, 0.733, 0.8, 0.683, 0.8, 0.633, 0.767, 0.8, 0.717, 0.667, 0.733, 0.783, 0.6, 0.767, 0.767, 0.617, 0.683, 0.783, 0.717, 0.767, 0.767, 0.817, 0.75, 0.783, 0.75, 0.783, 0.833, 0.7, 0.783, 0.733, 0.7, 0.733, 0.8, 0.65, 0.7, 0.65, 0.783, 0.733, 0.75, 0.767, 0.7, 0.633, 0.783, 0.783, 0.783, 0.767, 0.75, 0.683, 0.717, 0.7, 0.733, 0.783, 0.783, 0.733, 0.7, 0.667, 0.717, 0.733, 0.767, 0.7, 0.817, 0.65, 0.683, 0.8, 0.783, 0.717, 0.717, 0.75, 0.733, 0.767, 0.6, 0.8, 0.767, 0.717, 0.733, 0.617, 0.683, 0.783, 0.733, 0.683, 0.683, 0.7, 0.733, 0.75, 0.767, 0.883, 0.833, 0.733, 0.65, 0.7, 0.783, 0.667, 0.7, 0.783]",0.734
4,random_forest,"{'n_estimators': 240, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.73, 0.78, 0.68, 0.8, 0.78, 0.78, 0.75, 0.77, 0.83, 0.77, 0.75, 0.7, 0.77, 0.7, 0.62, 0.8, 0.73, 0.73, 0.75, 0.73]",0.747,"[0.683, 0.75, 0.75, 0.667, 0.75, 0.7, 0.817, 0.767, 0.817, 0.667, 0.767, 0.65, 0.75, 0.75, 0.717, 0.65, 0.733, 0.767, 0.583, 0.767, 0.8, 0.633, 0.733, 0.8, 0.75, 0.833, 0.75, 0.783, 0.717, 0.75, 0.767, 0.75, 0.833, 0.717, 0.8, 0.733, 0.733, 0.767, 0.833, 0.65, 0.7, 0.683, 0.75, 0.7, 0.8, 0.75, 0.7, 0.583, 0.783, 0.783, 0.767, 0.75, 0.75, 0.667, 0.717, 0.717, 0.767, 0.783, 0.733, 0.8, 0.717, 0.667, 0.733, 0.717, 0.75, 0.717, 0.767, 0.667, 0.7, 0.8, 0.75, 0.667, 0.717, 0.75, 0.733, 0.767, 0.617, 0.8, 0.75, 0.733, 0.733, 0.683, 0.667, 0.733, 0.783, 0.683, 0.7, 0.683, 0.733, 0.783, 0.75, 0.867, 0.8, 0.717, 0.633, 0.683, 0.783, 0.65, 0.683, 0.75]",0.733
5,random_forest,"{'n_estimators': 40, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.7, 0.78, 0.68, 0.8, 0.78, 0.8, 0.68, 0.77, 0.82, 0.75, 0.75, 0.7, 0.8, 0.73, 0.62, 0.77, 0.73, 0.77, 0.77, 0.73]",0.746,"[0.717, 0.75, 0.75, 0.65, 0.7, 0.667, 0.817, 0.733, 0.8, 0.7, 0.733, 0.667, 0.733, 0.733, 0.717, 0.7, 0.7, 0.783, 0.6, 0.783, 0.767, 0.667, 0.733, 0.8, 0.75, 0.817, 0.783, 0.8, 0.783, 0.717, 0.733, 0.75, 0.75, 0.65, 0.75, 0.717, 0.717, 0.75, 0.75, 0.667, 0.717, 0.717, 0.767, 0.767, 0.733, 0.783, 0.7, 0.633, 0.8, 0.767, 0.783, 0.75, 0.783, 0.733, 0.7, 0.7, 0.667, 0.8, 0.733, 0.767, 0.633, 0.7, 0.717, 0.75, 0.717, 0.7, 0.817, 0.633, 0.667, 0.817, 0.8, 0.633, 0.7, 0.7, 0.767, 0.767, 0.65, 0.783, 0.75, 0.733, 0.733, 0.683, 0.717, 0.767, 0.75, 0.733, 0.717, 0.733, 0.783, 0.717, 0.717, 0.783, 0.817, 0.7, 0.667, 0.7, 0.8, 0.583, 0.717, 0.767]",0.731
6,random_forest,"{'n_estimators': 290, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.68, 0.78, 0.68, 0.75, 0.78, 0.8, 0.73, 0.75, 0.85, 0.78, 0.75, 0.72, 0.75, 0.7, 0.62, 0.78, 0.73, 0.78, 0.77, 0.75]",0.746,"[]",-
7,random_forest,"{'n_estimators': 30, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.72, 0.78, 0.7, 0.77, 0.8, 0.77, 0.77, 0.77, 0.82, 0.68, 0.78, 0.73, 0.77, 0.73, 0.62, 0.77, 0.72, 0.75, 0.72, 0.75]",0.746,"[]",-
8,random_forest,"{'n_estimators': 260, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.68, 0.78, 0.68, 0.75, 0.8, 0.8, 0.75, 0.75, 0.83, 0.77, 0.75, 0.72, 0.75, 0.7, 0.62, 0.77, 0.75, 0.78, 0.75, 0.73]",0.745,"[]",-
9,random_forest,"{'n_estimators': 250, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.72, 0.78, 0.68, 0.77, 0.77, 0.78, 0.73, 0.77, 0.82, 0.75, 0.77, 0.7, 0.77, 0.7, 0.62, 0.77, 0.77, 0.75, 0.77, 0.72]",0.745,"[]",-
