model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
0,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 400, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.63, 0.78, 0.65, 0.7, 0.75, 0.68, 0.68, 0.68, 0.77, 0.77, 0.7, 0.73, 0.65, 0.7, 0.77, 0.68, 0.75, 0.77, 0.67, 0.68]",0.709,"[0.783, 0.767, 0.7, 0.833, 0.633, 0.633, 0.667, 0.767, 0.717, 0.583, 0.733, 0.667, 0.65, 0.767, 0.75, 0.617, 0.683, 0.7, 0.667, 0.633, 0.783, 0.667, 0.667, 0.55, 0.683, 0.75, 0.767, 0.617, 0.767, 0.6, 0.667, 0.767, 0.683, 0.65, 0.7, 0.667, 0.75, 0.683, 0.6, 0.7, 0.767, 0.667, 0.7, 0.633, 0.683, 0.767, 0.683, 0.633, 0.633, 0.683, 0.683, 0.733, 0.717, 0.7, 0.717, 0.667, 0.733, 0.717, 0.717, 0.7, 0.717, 0.633, 0.667, 0.75, 0.633, 0.667, 0.767, 0.683, 0.683, 0.75, 0.667, 0.55, 0.75, 0.667, 0.75, 0.683, 0.567, 0.7, 0.75, 0.667, 0.667, 0.683, 0.717, 0.8, 0.65, 0.7, 0.617, 0.733, 0.7, 0.733, 0.6, 0.783, 0.683, 0.667, 0.667, 0.75, 0.783, 0.65, 0.7, 0.733]",0.693
1,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 500, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.65, 0.8, 0.63, 0.72, 0.75, 0.67, 0.67, 0.67, 0.78, 0.77, 0.68, 0.72, 0.65, 0.7, 0.77, 0.7, 0.72, 0.77, 0.68, 0.67]",0.708,"[]",-
2,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 200, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.6, 0.75, 0.63, 0.7, 0.77, 0.68, 0.7, 0.7, 0.78, 0.82, 0.68, 0.72, 0.63, 0.7, 0.77, 0.65, 0.73, 0.77, 0.68, 0.65]",0.706,"[]",-
3,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 100, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.62, 0.75, 0.68, 0.72, 0.72, 0.65, 0.67, 0.73, 0.78, 0.85, 0.68, 0.68, 0.63, 0.68, 0.78, 0.65, 0.72, 0.75, 0.67, 0.67]",0.704,"[]",-
4,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 300, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.6, 0.78, 0.67, 0.7, 0.73, 0.67, 0.7, 0.67, 0.78, 0.77, 0.68, 0.73, 0.63, 0.68, 0.75, 0.68, 0.73, 0.77, 0.67, 0.67]",0.703,"[]",-
