model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
0,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 300, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 60, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.73, 0.7, 0.78, 0.68, 0.67, 0.67, 0.68, 0.65, 0.7, 0.65, 0.82, 0.73, 0.63, 0.68, 0.68, 0.68, 0.63, 0.62, 0.75, 0.63]",0.688,"[0.767, 0.683, 0.683, 0.783, 0.733, 0.7, 0.667, 0.717, 0.7, 0.75, 0.783, 0.667, 0.7, 0.633, 0.7, 0.8, 0.617, 0.717, 0.75, 0.7, 0.7, 0.633, 0.667, 0.683, 0.733, 0.767, 0.65, 0.667, 0.717, 0.517, 0.617, 0.683, 0.6, 0.65, 0.733, 0.617, 0.6, 0.733, 0.8, 0.683, 0.667, 0.633, 0.733, 0.767, 0.667, 0.767, 0.7, 0.717, 0.767, 0.533, 0.65, 0.633, 0.75, 0.667, 0.567, 0.7, 0.633, 0.783, 0.8, 0.783, 0.7, 0.683, 0.683, 0.683, 0.75, 0.8, 0.7, 0.683, 0.75, 0.65, 0.65, 0.733, 0.7, 0.617, 0.783, 0.65, 0.667, 0.65, 0.617, 0.65, 0.683, 0.733, 0.75, 0.75, 0.667, 0.717, 0.733, 0.7, 0.667, 0.683, 0.683, 0.75, 0.683, 0.733, 0.75, 0.667, 0.7, 0.633, 0.7, 0.683]",0.695
1,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 300, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 80, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.77, 0.7, 0.77, 0.68, 0.67, 0.68, 0.65, 0.65, 0.7, 0.68, 0.73, 0.73, 0.63, 0.65, 0.67, 0.67, 0.65, 0.62, 0.78, 0.67]",0.688,"[]",-
2,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 300, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 20, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.77, 0.65, 0.73, 0.7, 0.68, 0.67, 0.67, 0.65, 0.7, 0.7, 0.77, 0.73, 0.63, 0.63, 0.67, 0.7, 0.67, 0.6, 0.73, 0.67]",0.686,"[]",-
3,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 300, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 100, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.77, 0.7, 0.77, 0.68, 0.67, 0.7, 0.67, 0.65, 0.7, 0.68, 0.68, 0.73, 0.63, 0.67, 0.68, 0.68, 0.62, 0.58, 0.75, 0.65]",0.683,"[]",-
4,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 300, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 40, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.73, 0.65, 0.75, 0.67, 0.65, 0.68, 0.63, 0.65, 0.7, 0.67, 0.72, 0.73, 0.63, 0.67, 0.68, 0.68, 0.68, 0.58, 0.77, 0.63]",0.677,"[]",-
