model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
0,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': 20}","[0.9, 0.72, 0.82, 0.73, 0.77, 0.8, 0.8, 0.75, 0.72, 0.63, 0.82, 0.82, 0.8, 0.75, 0.82, 0.8, 0.75, 0.77, 0.78, 0.73]",0.774,"[0.7, 0.633, 0.733, 0.75, 0.733, 0.75, 0.783, 0.767, 0.733, 0.65, 0.717, 0.65, 0.767, 0.833, 0.733, 0.733, 0.683, 0.75, 0.65, 0.733, 0.717, 0.717, 0.7, 0.7, 0.817, 0.583, 0.7, 0.767, 0.833, 0.75, 0.8, 0.8, 0.733, 0.817, 0.65, 0.733, 0.767, 0.767, 0.733, 0.767, 0.717, 0.683, 0.833, 0.65, 0.783, 0.817, 0.7, 0.75, 0.7, 0.717, 0.75, 0.683, 0.783, 0.733, 0.783, 0.633, 0.783, 0.85, 0.75, 0.733, 0.767, 0.65, 0.733, 0.75, 0.717, 0.767, 0.683, 0.75, 0.667, 0.75, 0.783, 0.733, 0.75, 0.75, 0.767, 0.817, 0.683, 0.717, 0.8, 0.7, 0.65, 0.817, 0.783, 0.85, 0.683, 0.733, 0.767, 0.733, 0.65, 0.8, 0.733, 0.683, 0.817, 0.633, 0.733, 0.833, 0.733, 0.8, 0.783, 0.717]",0.738
1,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 16}","[0.88, 0.68, 0.83, 0.72, 0.77, 0.8, 0.78, 0.77, 0.73, 0.63, 0.83, 0.83, 0.8, 0.75, 0.82, 0.83, 0.73, 0.8, 0.77, 0.72]",0.774,"[0.7, 0.65, 0.75, 0.733, 0.733, 0.733, 0.75, 0.8, 0.733, 0.65, 0.717, 0.617, 0.783, 0.85, 0.717, 0.683, 0.683, 0.783, 0.683, 0.75, 0.7, 0.733, 0.7, 0.7, 0.817, 0.583, 0.7, 0.717, 0.817, 0.75, 0.783, 0.8, 0.683, 0.817, 0.633, 0.717, 0.767, 0.75, 0.733, 0.733, 0.7, 0.717, 0.867, 0.65, 0.8, 0.833, 0.717, 0.733, 0.7, 0.717, 0.733, 0.717, 0.767, 0.7, 0.833, 0.617, 0.75, 0.833, 0.733, 0.75, 0.767, 0.733, 0.7, 0.767, 0.7, 0.75, 0.667, 0.767, 0.65, 0.717, 0.783, 0.733, 0.717, 0.717, 0.75, 0.833, 0.717, 0.717, 0.833, 0.683, 0.683, 0.817, 0.783, 0.817, 0.683, 0.733, 0.767, 0.733, 0.667, 0.75, 0.733, 0.667, 0.8, 0.65, 0.767, 0.8, 0.733, 0.75, 0.8, 0.7]",0.735
2,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': 18}","[0.87, 0.67, 0.78, 0.77, 0.77, 0.82, 0.82, 0.78, 0.75, 0.63, 0.83, 0.83, 0.8, 0.72, 0.8, 0.83, 0.73, 0.77, 0.77, 0.73]",0.774,"[0.7, 0.667, 0.733, 0.75, 0.717, 0.733, 0.8, 0.783, 0.717, 0.633, 0.683, 0.633, 0.8, 0.867, 0.717, 0.717, 0.617, 0.783, 0.667, 0.75, 0.7, 0.75, 0.717, 0.7, 0.817, 0.617, 0.7, 0.733, 0.817, 0.75, 0.817, 0.817, 0.717, 0.817, 0.6, 0.7, 0.767, 0.767, 0.75, 0.7, 0.683, 0.717, 0.85, 0.667, 0.8, 0.817, 0.717, 0.75, 0.75, 0.733, 0.717, 0.717, 0.783, 0.717, 0.8, 0.6, 0.783, 0.85, 0.717, 0.733, 0.767, 0.733, 0.717, 0.75, 0.733, 0.717, 0.667, 0.733, 0.683, 0.75, 0.817, 0.733, 0.75, 0.717, 0.75, 0.833, 0.717, 0.733, 0.8, 0.717, 0.65, 0.817, 0.8, 0.833, 0.65, 0.733, 0.767, 0.75, 0.633, 0.767, 0.75, 0.683, 0.783, 0.633, 0.733, 0.85, 0.733, 0.783, 0.767, 0.717]",0.738
3,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 18}","[0.88, 0.72, 0.85, 0.73, 0.75, 0.8, 0.78, 0.8, 0.7, 0.65, 0.83, 0.83, 0.82, 0.75, 0.83, 0.83, 0.73, 0.75, 0.73, 0.7]",0.773,"[0.7, 0.65, 0.75, 0.75, 0.7, 0.717, 0.767, 0.783, 0.717, 0.633, 0.7, 0.617, 0.817, 0.867, 0.733, 0.667, 0.65, 0.75, 0.667, 0.733, 0.7, 0.75, 0.733, 0.7, 0.8, 0.567, 0.683, 0.75, 0.817, 0.767, 0.767, 0.817, 0.717, 0.817, 0.633, 0.733, 0.767, 0.75, 0.733, 0.75, 0.7, 0.7, 0.85, 0.7, 0.8, 0.817, 0.717, 0.75, 0.7, 0.7, 0.717, 0.717, 0.783, 0.733, 0.8, 0.617, 0.767, 0.833, 0.717, 0.733, 0.783, 0.7, 0.733, 0.733, 0.7, 0.767, 0.683, 0.767, 0.717, 0.75, 0.783, 0.733, 0.75, 0.733, 0.75, 0.85, 0.683, 0.717, 0.817, 0.717, 0.683, 0.8, 0.783, 0.817, 0.683, 0.767, 0.783, 0.75, 0.633, 0.767, 0.717, 0.7, 0.8, 0.65, 0.767, 0.817, 0.733, 0.75, 0.783, 0.717]",0.737
4,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': 8}","[0.88, 0.7, 0.85, 0.73, 0.8, 0.8, 0.73, 0.77, 0.72, 0.63, 0.8, 0.8, 0.8, 0.78, 0.82, 0.85, 0.77, 0.72, 0.77, 0.72]",0.772,"[0.7, 0.667, 0.75, 0.733, 0.7, 0.75, 0.733, 0.783, 0.7, 0.683, 0.683, 0.65, 0.8, 0.833, 0.717, 0.633, 0.683, 0.733, 0.65, 0.75, 0.7, 0.75, 0.733, 0.733, 0.817, 0.65, 0.7, 0.717, 0.8, 0.733, 0.8, 0.8, 0.667, 0.75, 0.65, 0.717, 0.767, 0.767, 0.75, 0.75, 0.717, 0.7, 0.833, 0.7, 0.817, 0.8, 0.75, 0.733, 0.75, 0.717, 0.75, 0.717, 0.767, 0.683, 0.8, 0.617, 0.733, 0.85, 0.767, 0.733, 0.717, 0.733, 0.7, 0.733, 0.717, 0.783, 0.65, 0.783, 0.667, 0.75, 0.783, 0.733, 0.767, 0.7, 0.733, 0.833, 0.7, 0.733, 0.817, 0.733, 0.683, 0.783, 0.75, 0.817, 0.683, 0.767, 0.75, 0.733, 0.633, 0.817, 0.717, 0.633, 0.8, 0.633, 0.783, 0.783, 0.75, 0.783, 0.767, 0.733]",0.736
5,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 10}","[0.87, 0.65, 0.88, 0.75, 0.8, 0.8, 0.75, 0.75, 0.73, 0.65, 0.82, 0.82, 0.8, 0.78, 0.82, 0.83, 0.73, 0.73, 0.78, 0.7]",0.772,"[0.717, 0.667, 0.75, 0.733, 0.733, 0.75, 0.733, 0.783, 0.7, 0.683, 0.717, 0.65, 0.783, 0.85, 0.717, 0.667, 0.667, 0.733, 0.65, 0.733, 0.7, 0.75, 0.733, 0.7, 0.817, 0.65, 0.7, 0.733, 0.817, 0.733, 0.767, 0.767, 0.7, 0.75, 0.65, 0.717, 0.767, 0.767, 0.733, 0.75, 0.683, 0.717, 0.833, 0.7, 0.817, 0.833, 0.75, 0.717, 0.7, 0.717, 0.783, 0.717, 0.783, 0.717, 0.833, 0.583, 0.75, 0.833, 0.767, 0.733, 0.733, 0.717, 0.717, 0.733, 0.717, 0.783, 0.683, 0.767, 0.683, 0.733, 0.783, 0.733, 0.75, 0.75, 0.767, 0.817, 0.7, 0.717, 0.817, 0.733, 0.683, 0.8, 0.8, 0.817, 0.683, 0.717, 0.75, 0.75, 0.65, 0.783, 0.733, 0.633, 0.767, 0.65, 0.767, 0.8, 0.733, 0.75, 0.783, 0.717]",0.737
6,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 22}","[0.87, 0.72, 0.77, 0.75, 0.82, 0.77, 0.77, 0.77, 0.72, 0.65, 0.83, 0.85, 0.8, 0.73, 0.83, 0.8, 0.73, 0.77, 0.77, 0.72]",0.772,"[0.683, 0.6, 0.75, 0.767, 0.767, 0.75, 0.783, 0.783, 0.683, 0.65, 0.7, 0.65, 0.783, 0.817, 0.717, 0.633, 0.667, 0.75, 0.7, 0.75, 0.717, 0.767, 0.7, 0.7, 0.833, 0.617, 0.683, 0.75, 0.833, 0.75, 0.783, 0.8, 0.683, 0.833, 0.633, 0.7, 0.767, 0.767, 0.767, 0.75, 0.7, 0.683, 0.85, 0.65, 0.8, 0.833, 0.717, 0.75, 0.7, 0.733, 0.75, 0.7, 0.75, 0.717, 0.8, 0.617, 0.767, 0.85, 0.717, 0.733, 0.75, 0.683, 0.767, 0.75, 0.733, 0.767, 0.683, 0.783, 0.7, 0.7, 0.783, 0.733, 0.75, 0.717, 0.767, 0.833, 0.7, 0.717, 0.817, 0.683, 0.667, 0.783, 0.783, 0.817, 0.65, 0.7, 0.75, 0.75, 0.633, 0.817, 0.75, 0.7, 0.783, 0.65, 0.75, 0.833, 0.75, 0.8, 0.767, 0.717]",0.737
7,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 16}","[0.88, 0.72, 0.8, 0.75, 0.77, 0.8, 0.82, 0.77, 0.7, 0.63, 0.83, 0.82, 0.83, 0.72, 0.82, 0.82, 0.72, 0.78, 0.73, 0.72]",0.772,"[0.7, 0.617, 0.75, 0.733, 0.733, 0.75, 0.767, 0.8, 0.7, 0.667, 0.717, 0.6, 0.783, 0.833, 0.683, 0.683, 0.65, 0.767, 0.667, 0.733, 0.733, 0.767, 0.717, 0.717, 0.817, 0.6, 0.7, 0.733, 0.833, 0.75, 0.8, 0.817, 0.733, 0.817, 0.65, 0.75, 0.767, 0.733, 0.733, 0.733, 0.683, 0.717, 0.867, 0.7, 0.767, 0.817, 0.733, 0.733, 0.683, 0.7, 0.733, 0.7, 0.767, 0.733, 0.8, 0.617, 0.767, 0.85, 0.717, 0.733, 0.75, 0.7, 0.783, 0.75, 0.7, 0.75, 0.65, 0.767, 0.667, 0.683, 0.783, 0.733, 0.75, 0.683, 0.767, 0.817, 0.683, 0.717, 0.8, 0.733, 0.683, 0.817, 0.783, 0.833, 0.7, 0.683, 0.75, 0.733, 0.617, 0.8, 0.733, 0.683, 0.783, 0.667, 0.767, 0.833, 0.75, 0.783, 0.783, 0.7]",0.736
8,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 12}","[0.88, 0.72, 0.85, 0.75, 0.8, 0.8, 0.8, 0.75, 0.7, 0.65, 0.8, 0.82, 0.78, 0.73, 0.83, 0.85, 0.72, 0.75, 0.75, 0.7]",0.772,"[0.717, 0.6, 0.767, 0.733, 0.717, 0.783, 0.767, 0.8, 0.7, 0.65, 0.7, 0.65, 0.8, 0.85, 0.717, 0.7, 0.617, 0.75, 0.667, 0.717, 0.717, 0.75, 0.733, 0.683, 0.817, 0.617, 0.717, 0.717, 0.833, 0.75, 0.783, 0.8, 0.7, 0.767, 0.65, 0.75, 0.767, 0.767, 0.75, 0.75, 0.733, 0.7, 0.833, 0.683, 0.8, 0.85, 0.733, 0.733, 0.733, 0.733, 0.733, 0.733, 0.767, 0.717, 0.783, 0.617, 0.767, 0.867, 0.75, 0.733, 0.783, 0.7, 0.733, 0.75, 0.7, 0.767, 0.7, 0.767, 0.667, 0.733, 0.767, 0.7, 0.75, 0.717, 0.767, 0.817, 0.717, 0.733, 0.817, 0.717, 0.683, 0.8, 0.8, 0.833, 0.65, 0.717, 0.767, 0.75, 0.667, 0.817, 0.733, 0.667, 0.8, 0.65, 0.8, 0.8, 0.783, 0.733, 0.783, 0.7]",0.74
9,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': 6}","[0.87, 0.63, 0.87, 0.73, 0.78, 0.8, 0.78, 0.77, 0.73, 0.68, 0.8, 0.8, 0.82, 0.82, 0.8, 0.85, 0.73, 0.73, 0.75, 0.68]",0.771,"[0.7, 0.633, 0.733, 0.733, 0.717, 0.75, 0.733, 0.783, 0.717, 0.717, 0.7, 0.65, 0.783, 0.817, 0.717, 0.65, 0.667, 0.7, 0.667, 0.717, 0.683, 0.7, 0.717, 0.717, 0.817, 0.7, 0.733, 0.733, 0.8, 0.733, 0.783, 0.767, 0.7, 0.783, 0.65, 0.733, 0.783, 0.733, 0.7, 0.733, 0.717, 0.717, 0.8, 0.7, 0.783, 0.817, 0.717, 0.733, 0.767, 0.717, 0.75, 0.733, 0.75, 0.7, 0.817, 0.617, 0.733, 0.867, 0.767, 0.733, 0.733, 0.7, 0.683, 0.75, 0.7, 0.767, 0.717, 0.783, 0.667, 0.75, 0.767, 0.733, 0.8, 0.717, 0.733, 0.833, 0.7, 0.717, 0.783, 0.717, 0.683, 0.817, 0.733, 0.833, 0.683, 0.7, 0.767, 0.75, 0.633, 0.8, 0.717, 0.633, 0.783, 0.65, 0.767, 0.783, 0.75, 0.783, 0.767, 0.717]",0.734
