model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
0,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 500, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 100, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.78, 0.7, 0.75, 0.87, 0.65, 0.72, 0.75, 0.75, 0.7, 0.67, 0.72, 0.63, 0.73, 0.75, 0.67, 0.87, 0.68, 0.63, 0.67, 0.62]",0.716,"[0.717, 0.667, 0.783, 0.683, 0.783, 0.717, 0.7, 0.683, 0.75, 0.683, 0.583, 0.667, 0.767, 0.75, 0.817, 0.717, 0.667, 0.733, 0.533, 0.65, 0.767, 0.667, 0.75, 0.817, 0.65, 0.7, 0.617, 0.683, 0.767, 0.733, 0.667, 0.717, 0.833, 0.833, 0.767, 0.667, 0.717, 0.75, 0.767, 0.65, 0.75, 0.717, 0.733, 0.733, 0.7, 0.7, 0.667, 0.6, 0.767, 0.733, 0.733, 0.583, 0.567, 0.7, 0.617, 0.767, 0.783, 0.717, 0.583, 0.75, 0.717, 0.733, 0.633, 0.717, 0.7, 0.667, 0.733, 0.683, 0.7, 0.683, 0.75, 0.733, 0.7, 0.733, 0.667, 0.7, 0.733, 0.583, 0.667, 0.733, 0.667, 0.767, 0.733, 0.733, 0.65, 0.8, 0.7, 0.717, 0.7, 0.733, 0.75, 0.65, 0.733, 0.667, 0.667, 0.7, 0.617, 0.7, 0.65, 0.65]",0.704
1,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 500, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 80, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.78, 0.68, 0.75, 0.83, 0.68, 0.72, 0.77, 0.75, 0.7, 0.67, 0.7, 0.62, 0.72, 0.73, 0.67, 0.87, 0.68, 0.62, 0.68, 0.62]",0.712,"[]",-
2,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 500, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 60, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.82, 0.67, 0.73, 0.87, 0.68, 0.7, 0.73, 0.75, 0.67, 0.7, 0.72, 0.65, 0.7, 0.73, 0.65, 0.87, 0.68, 0.62, 0.7, 0.58]",0.711,"[]",-
3,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 500, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 20, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.77, 0.67, 0.73, 0.87, 0.68, 0.72, 0.77, 0.73, 0.73, 0.67, 0.7, 0.65, 0.7, 0.73, 0.68, 0.85, 0.67, 0.6, 0.67, 0.62]",0.71,"[]",-
4,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 500, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 40, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.77, 0.68, 0.73, 0.8, 0.67, 0.7, 0.72, 0.75, 0.7, 0.68, 0.72, 0.62, 0.73, 0.75, 0.65, 0.87, 0.65, 0.63, 0.65, 0.62]",0.705,"[]",-
