model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
0,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 100, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 80, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.63, 0.7, 0.77, 0.78, 0.67, 0.7, 0.78, 0.7, 0.77, 0.7, 0.77, 0.7, 0.73, 0.77, 0.68, 0.73, 0.65, 0.72, 0.8, 0.67]",0.721,"[0.633, 0.733, 0.667, 0.75, 0.617, 0.817, 0.683, 0.733, 0.633, 0.767, 0.683, 0.733, 0.65, 0.75, 0.6, 0.7, 0.717, 0.683, 0.817, 0.717, 0.733, 0.667, 0.617, 0.667, 0.7, 0.733, 0.783, 0.7, 0.75, 0.733, 0.75, 0.683, 0.633, 0.683, 0.65, 0.633, 0.533, 0.633, 0.717, 0.683, 0.75, 0.6, 0.767, 0.667, 0.7, 0.6, 0.7, 0.7, 0.683, 0.633, 0.617, 0.783, 0.767, 0.55, 0.717, 0.717, 0.75, 0.767, 0.633, 0.717, 0.717, 0.667, 0.75, 0.767, 0.767, 0.717, 0.767, 0.683, 0.717, 0.783, 0.733, 0.683, 0.683, 0.717, 0.683, 0.667, 0.75, 0.733, 0.683, 0.8, 0.75, 0.717, 0.7, 0.633, 0.667, 0.75, 0.733, 0.683, 0.733, 0.65, 0.667, 0.617, 0.667, 0.767, 0.783, 0.717, 0.633, 0.733, 0.6, 0.683]",0.699
1,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 100, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 20, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.63, 0.68, 0.77, 0.75, 0.67, 0.77, 0.8, 0.73, 0.73, 0.75, 0.72, 0.65, 0.73, 0.73, 0.7, 0.75, 0.7, 0.73, 0.75, 0.62]",0.718,"[]",-
2,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 100, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 40, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.65, 0.68, 0.75, 0.72, 0.68, 0.78, 0.77, 0.73, 0.77, 0.7, 0.73, 0.67, 0.7, 0.77, 0.7, 0.75, 0.67, 0.7, 0.73, 0.68]",0.716,"[]",-
3,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 100, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 60, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.67, 0.65, 0.77, 0.72, 0.67, 0.78, 0.77, 0.73, 0.78, 0.68, 0.72, 0.68, 0.73, 0.73, 0.67, 0.73, 0.67, 0.72, 0.78, 0.65]",0.715,"[]",-
4,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 100, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 100, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.65, 0.7, 0.7, 0.78, 0.67, 0.72, 0.78, 0.7, 0.78, 0.7, 0.7, 0.68, 0.73, 0.75, 0.67, 0.77, 0.67, 0.68, 0.77, 0.67]",0.714,"[]",-
