model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
0,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 300, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.72, 0.63, 0.75, 0.63, 0.68, 0.72, 0.65, 0.7, 0.63, 0.68, 0.73, 0.72, 0.77, 0.68, 0.68, 0.65, 0.72, 0.78, 0.72, 0.7]",0.697,"[0.633, 0.617, 0.683, 0.667, 0.733, 0.683, 0.733, 0.65, 0.683, 0.683, 0.783, 0.6, 0.7, 0.75, 0.667, 0.7, 0.683, 0.733, 0.5, 0.617, 0.767, 0.717, 0.7, 0.617, 0.55, 0.717, 0.683, 0.783, 0.733, 0.767, 0.6, 0.533, 0.633, 0.6, 0.617, 0.717, 0.867, 0.65, 0.767, 0.667, 0.767, 0.617, 0.617, 0.75, 0.667, 0.683, 0.733, 0.667, 0.7, 0.767, 0.65, 0.75, 0.633, 0.65, 0.733, 0.75, 0.617, 0.7, 0.583, 0.633, 0.667, 0.667, 0.783, 0.667, 0.667, 0.683, 0.7, 0.717, 0.717, 0.7, 0.65, 0.65, 0.733, 0.767, 0.65, 0.633, 0.817, 0.583, 0.567, 0.733, 0.717, 0.733, 0.65, 0.683, 0.7, 0.733, 0.533, 0.767, 0.75, 0.65, 0.65, 0.717, 0.633, 0.717, 0.683, 0.733, 0.717, 0.717, 0.75, 0.717]",0.686
1,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 500, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.72, 0.65, 0.75, 0.65, 0.7, 0.73, 0.62, 0.73, 0.63, 0.68, 0.75, 0.72, 0.72, 0.7, 0.67, 0.6, 0.67, 0.77, 0.7, 0.73]",0.694,"[]",-
2,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 400, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.7, 0.63, 0.75, 0.63, 0.68, 0.72, 0.63, 0.72, 0.63, 0.68, 0.72, 0.72, 0.73, 0.7, 0.68, 0.65, 0.68, 0.77, 0.73, 0.73]",0.694,"[]",-
3,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 200, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.7, 0.63, 0.73, 0.63, 0.68, 0.7, 0.68, 0.63, 0.65, 0.68, 0.73, 0.7, 0.77, 0.67, 0.68, 0.65, 0.72, 0.75, 0.7, 0.7]",0.689,"[]",-
4,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 100, 'activation': 'relu', 'use_bias': True}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.7, 0.63, 0.72, 0.63, 0.65, 0.7, 0.72, 0.63, 0.65, 0.67, 0.72, 0.73, 0.75, 0.65, 0.67, 0.65, 0.68, 0.67, 0.75, 0.68]",0.682,"[]",-
