model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
10,random_forest,"{'n_estimators': 215, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.8, 0.73, 0.7, 0.73, 0.72, 0.78, 0.67, 0.7, 0.7, 0.68, 0.72, 0.77, 0.75, 0.88, 0.77, 0.7, 0.65, 0.78, 0.85, 0.77]",0.742,"[0.817, 0.7, 0.733, 0.75, 0.683, 0.8, 0.733, 0.75, 0.633, 0.733, 0.717, 0.717, 0.783, 0.7, 0.75, 0.783, 0.7, 0.75, 0.7, 0.767, 0.717, 0.8, 0.767, 0.667, 0.733, 0.567, 0.717, 0.75, 0.633, 0.667, 0.75, 0.767, 0.767, 0.783, 0.667, 0.783, 0.767, 0.733, 0.767, 0.667, 0.733, 0.733, 0.75, 0.767, 0.767, 0.717, 0.767, 0.85, 0.667, 0.717, 0.667, 0.717, 0.717, 0.75, 0.767, 0.7, 0.783, 0.833, 0.683, 0.7, 0.717, 0.7, 0.7, 0.717, 0.633, 0.717, 0.717, 0.65, 0.783, 0.7, 0.767, 0.717, 0.733, 0.683, 0.783, 0.717, 0.683, 0.767, 0.75, 0.683, 0.75, 0.817, 0.767, 0.717, 0.667, 0.767, 0.75, 0.667, 0.8, 0.683, 0.767, 0.817, 0.75, 0.633, 0.783, 0.7, 0.733, 0.667, 0.717, 0.7]",0.729
11,random_forest,"{'n_estimators': 225, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.75, 0.72, 0.7, 0.73, 0.72, 0.73, 0.68, 0.7, 0.73, 0.7, 0.77, 0.8, 0.77, 0.83, 0.77, 0.7, 0.73, 0.75, 0.82, 0.75]",0.742,"[]",-
12,random_forest,"{'n_estimators': 205, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.82, 0.73, 0.72, 0.75, 0.72, 0.77, 0.67, 0.7, 0.68, 0.65, 0.68, 0.75, 0.75, 0.85, 0.78, 0.72, 0.68, 0.78, 0.87, 0.77]",0.742,"[]",-
13,random_forest,"{'n_estimators': 195, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.8, 0.7, 0.7, 0.7, 0.73, 0.72, 0.72, 0.73, 0.7, 0.7, 0.68, 0.75, 0.72, 0.83, 0.75, 0.77, 0.72, 0.8, 0.82, 0.77]",0.741,"[]",-
14,random_forest,"{'n_estimators': 190, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.82, 0.7, 0.7, 0.75, 0.73, 0.7, 0.72, 0.68, 0.7, 0.68, 0.67, 0.77, 0.75, 0.85, 0.73, 0.73, 0.72, 0.77, 0.87, 0.77]",0.74,"[]",-
15,random_forest,"{'n_estimators': 190, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.82, 0.68, 0.7, 0.78, 0.73, 0.73, 0.65, 0.68, 0.68, 0.68, 0.73, 0.73, 0.78, 0.83, 0.78, 0.68, 0.7, 0.8, 0.87, 0.78]",0.74,"[]",-
16,random_forest,"{'n_estimators': 220, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.85, 0.72, 0.7, 0.78, 0.75, 0.75, 0.7, 0.72, 0.65, 0.67, 0.72, 0.72, 0.75, 0.88, 0.75, 0.7, 0.63, 0.8, 0.8, 0.75]",0.74,"[]",-
17,random_forest,"{'n_estimators': 195, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.85, 0.72, 0.7, 0.7, 0.72, 0.75, 0.65, 0.72, 0.65, 0.7, 0.7, 0.72, 0.73, 0.88, 0.77, 0.72, 0.68, 0.8, 0.85, 0.78]",0.74,"[]",-
18,random_forest,"{'n_estimators': 230, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.8, 0.73, 0.72, 0.77, 0.72, 0.78, 0.62, 0.7, 0.67, 0.68, 0.75, 0.75, 0.73, 0.87, 0.73, 0.7, 0.67, 0.8, 0.82, 0.77]",0.739,"[]",-
19,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.82, 0.72, 0.7, 0.75, 0.77, 0.75, 0.67, 0.73, 0.68, 0.65, 0.72, 0.73, 0.72, 0.85, 0.77, 0.7, 0.7, 0.77, 0.83, 0.75]",0.739,"[]",-
