model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
0,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 200, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 60, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.6, 0.67, 0.77, 0.78, 0.83, 0.72, 0.63, 0.73, 0.7, 0.8, 0.72, 0.8, 0.67, 0.72, 0.65, 0.73, 0.73, 0.7, 0.68, 0.68]",0.716,"[0.75, 0.683, 0.633, 0.717, 0.65, 0.75, 0.717, 0.683, 0.683, 0.683, 0.683, 0.75, 0.75, 0.65, 0.817, 0.683, 0.65, 0.567, 0.717, 0.7, 0.667, 0.75, 0.667, 0.85, 0.667, 0.6, 0.6, 0.7, 0.767, 0.733, 0.667, 0.683, 0.667, 0.6, 0.7, 0.7, 0.75, 0.7, 0.733, 0.617, 0.7, 0.667, 0.733, 0.817, 0.65, 0.683, 0.6, 0.667, 0.717, 0.767, 0.767, 0.7, 0.717, 0.65, 0.6, 0.617, 0.783, 0.717, 0.733, 0.6, 0.717, 0.717, 0.633, 0.7, 0.717, 0.717, 0.8, 0.633, 0.667, 0.767, 0.8, 0.717, 0.733, 0.683, 0.617, 0.683, 0.617, 0.6, 0.717, 0.65, 0.7, 0.833, 0.583, 0.65, 0.683, 0.717, 0.767, 0.733, 0.767, 0.667, 0.633, 0.55, 0.567, 0.683, 0.583, 0.633, 0.583, 0.717, 0.717, 0.7]",0.69
1,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 200, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 40, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.62, 0.65, 0.73, 0.8, 0.82, 0.7, 0.63, 0.73, 0.72, 0.77, 0.72, 0.77, 0.68, 0.73, 0.62, 0.73, 0.73, 0.67, 0.7, 0.68]",0.71,"[]",-
2,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 200, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 80, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.58, 0.65, 0.73, 0.8, 0.77, 0.7, 0.63, 0.72, 0.72, 0.75, 0.7, 0.8, 0.7, 0.75, 0.63, 0.72, 0.72, 0.68, 0.7, 0.68]",0.706,"[]",-
3,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 200, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 100, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.6, 0.65, 0.77, 0.75, 0.82, 0.7, 0.63, 0.72, 0.68, 0.78, 0.7, 0.8, 0.7, 0.72, 0.58, 0.75, 0.73, 0.68, 0.7, 0.65]",0.706,"[]",-
4,keras_sequential,"{'layers': [{'type': 'Input', 'shape': (None, 10)}, {'type': 'Dense', 'units': 200, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 20, 'activation': 'relu', 'use_bias': True}, {'type': 'Dropout', 'rate': 0.2, 'noise_shape': None}, {'type': 'Dense', 'units': 1, 'activation': 'sigmoid', 'use_bias': True}]}","[0.6, 0.63, 0.73, 0.78, 0.82, 0.72, 0.63, 0.68, 0.65, 0.8, 0.7, 0.8, 0.7, 0.75, 0.6, 0.72, 0.72, 0.68, 0.7, 0.68]",0.705,"[]",-
